Year,Date,Event,Reference
1901,9/14/2015,"President William McKinley was assassinated by Leon Czolgosz in Buffalo, 
New York.",[53]
,9/14/2015,"Vice President Theodore Roosevelt was sworn in as president, after the 
assassination of President McKinley.",[54]
,11/18/2015,The Hay–Pauncefote Treaty was signed.,[55]
1902,1/1/2015,"The first *Rose Bowl Game* was played between the University of Michigan 
and Stanford University.",[56]
,2/19/2015,The Elkins Act was signed into law.,[57]
,,The Drago Doctrine was announced.,[58]
,6/17/2015,The Newlands Reclamation Act was signed into law.,[59]
1903,1/22/2015,The Hay–Herrán Treaty was passed.,[60]
,6/16/2015,The Ford Motor Company was formed.,[61]
,2/14/2015,The Department of Commerce and Labor was created.,[62]
,10/1/2015,"The first World Series was played between the Boston Americans and Pittsburgh 
Pirates.",[63]
,11/18/2015,The Hay–Bunau-Varilla Treaty was signed.,[64]
,12/1/2015,The movie *The Great Train Robbery* premieres.,[65]
,12/17/2015,The Wright brothers made their first powered flight in the *Wright Flyer*.,[66]
1904,,The Roosevelt Corollary to the Monroe Doctrine was issued.,[67]
,5/4/2015,"The Panama Canal Zone was acquired by the United States from France for $40 
million.",[68]
,11/8/2015,"*United States presidential election, 1904*: President Theodore Roosevelt 
was reelected to a second term, defeating New York Appeals Court Judge Alton 
B. Parker.",[69]
1905,July 11–14,The *Niagara Falls conference* was held.,[70]
,9/5/2015,"The Treaty of Portsmouth, negotiated by President Theodore Roosevelt, was 
signed, ending the Russo-Japanese War .",[71]
1906,3/13/2015,Women's suffrage and civil rights activist Susan B. Anthony died.,[72]
,4/18/2015,"The 1906 San Francisco earthquake killed over 3,400 people and destroyed 
over 80% of San Francisco; being the deadliest earthquake in American 
history.",[73][74][75]
,6/29/2015,The Hepburn Act was signed into law.,[76]
,6/30/2015,"The Pure Food and Drug Act and Meat Inspection Act were signed; 
establishing the Food and Drug Administration (FDA).",[77][78]
,12/10/2015,"President Theodore Roosevelt was awarded the Nobel Peace Prize for his role 
in negotiating the end of the Russo-Japanese war; becoming the first 
statesman to win a Nobel Prize.",[79]
1907,1/26/2015,The Tillman Act was signed into law.,[80]
,2/26/2015,The Gentlemen's Agreement of 1907 was signed.,[81]
,11/17/2015,"Oklahoma was admitted to the Union, becoming the 46th state.",[82]
,12/6/2015,"*Monongah Mining Disaster*: A coal mine exploded in Monongah, West Virginia, 
killing at least 361.",[83]
1908,5/30/2015,The Aldrich–Vreeland Act was signed into law.,[84]
,7/26/2015,The Bureau of Investigation (later the FBI) was established.,[85]
,10/1/2015,The Ford Model T appeared on the market.,[61]
,11/3/2015,"*United States presidential election, 1908*: U.S. Secretary of War William 
Howard Taft was elected President, defeating former Nebraska Representative William 
Jennings Bryan.",[86]
,11/30/2015,The Root–Takahira Agreement was reached.,[87]
1909,,William Howard Taft implemented Dollar Diplomacy.,[88]
,2/12/2015,The NAACP was founded by W. E. B. Du Bois.,[89]
,4/7/2015,Robert Peary became the first person to reach the North Pole.,[90]
,8/2/2015,The first redesigned Lincoln Penny was released to the public.,[91]
1910,2/8/2015,The Boy Scouts of America was created.,[92]
,6/18/2015,The Mann–Elkins Act was signed into law.,[93]
,,The Mann Act was signed into law.,[94]
,8/6/2015,The Payne–Aldrich Tariff Act was signed into law.,[95]
1911,5/15/2015,"*Standard Oil Company v. United States*: The Supreme Court found Standard 
Oil guilty of monopolizing the petroleum industry; subsequently dividing 
Standard Oil into several geographically separate firms.",[96]
,5/30/2015,The first Indianapolis 500 was held; being won by Ray Harroun.,[97]
1912,1/6/2015,"New Mexico was admitted to the Union, becoming the 47th.",[98]
,2/14/2015,"Arizona was admitted to the Union, becoming the 48th state.",[98]
,3/12/2015,Girl Scouts of the USA was created by Juliette Gordon Low.,[99]
,April 14–15,"The RMS *Titanic* crashed into an iceberg in the northern Atlantic Ocean, 
sinking the ship entirely less than three hours the initial collision, 
killing over 1,500 of the 2,224 passengers aboard.",[100][101][102]
,10/14/2015,"Former President Theodore Roosevelt was shot, but not killed, while 
campaigning for President as the candidate for the progressive Bull Moose 
Party.",[103]
,11/5/2015,"*United States presidential election, 1912*: New Jersey Governor Woodrow 
Wilson defeated incumbent President William Howard Taft, former President Theodore 
Roosevelt and union leader Eugene V. Debs.",[104]
1913,2/3/2015,"The Sixteenth Amendment to the United States Constitution, establishing an income 
tax, was ratified.",[105]
,2/17/2015,"The Armory Show opened in New York City, introducing American and European modern 
art to the American public.",[106]
,5/31/2015,"The Seventeenth Amendment to the United States Constitution, establishing 
direct election of Senators, was ratified.",[107]
,6/15/2015,"After mass civilian casualties in the Battle of Bud Bagsak, the Moro's 
surrendered their rebellion, ending the Philippine–American War.",[108]
,10/4/2015,The Underwood Tariff was signed into law.,[109]
,12/1/2015,Henry Ford developed the modern assembly line.,[110]
,12/23/2015,"The Federal Reserve Act was signed into law; establishing the Federal 
Reserve System.",[111]
1914,4/20/2015,"*Ludlow Massacre*: The camps of striking coal miners were attacked by the Colorado 
National Guard; killing 25, including 11 children.",[112]
,7/28/2015,"*World War I*: Austria-Hungary invaded the Kingdom of Serbia after the 
assassination of Archduke Franz Ferdinand; triggering the start of World 
War I.",[113]
,5/9/2015,The first Mother's Day was observed.,[114]
,9/26/2015,The Federal Trade Commission was established.,[115]
,10/15/2015,The Clayton Antitrust Act was signed into law.,[116]
1915,2/8/2015,"The controversial movie *The Birth of a Nation* opened in Los Angeles, 
becoming the largest-grossing movie at the time.",[117]
,5/7/2015,"The RMS *Lusitania* was sunk by a German torpedo, killing 1,198 passengers; 
partially contributing to the U.S.'s later involvement in World War I.",[118]
1916,11/7/2015,"Jeannette Rankin of Montana became the first woman elected to the United 
States Congress.",[119]
,,The Adamson Railway Labor Act was signed into law.,
,7/17/2015,The Federal Farm Loan Act was signed into law.,[120]
,8/29/2015,The Jones Act was signed into law.,[121]
,11/7/2015,"*United States presidential election, 1916*: President Woodrow Wilson was 
reelected to a second term, defeating Associate Supreme Court Justice Charles 
Evans Hughes of New York.",[122]
1917,3/31/2015,"The United States acquired the Virgin Islands from Denmark for $25,000,000.",[123]
,3/1/2015,"The Zimmermann telegram was published, helping shift public opinion in 
favor of U.S. involvement in World War I.",[124]
,4/6/2015,"The United States declared war on Germany, beginning the U.S.'s involvement 
in World War I.",[125]
,6/15/2015,The Espionage Act was signed into law.,[126]
,11/2/2015,The Lansing–Ishii Agreement was signed.,[127]
,,"*First Red Scare*: The scare, marked by a widespread fear of Bolshevism and 
anarchism, began.",[128][129][130]
1918,1/8/2015,"*World War I*: President Woodrow Wilson's Fourteen Points, which assured 
citizens that the war was being fought for a moral cause and for postwar 
peace in Europe, was issued.",[131]
,5/16/2015,"The *Sedition Act of 1918* was signed into law; forbidding the ""disloyal, 
profane, scurrilous, or abusive language"" against the United States 
government during a time of war.",[126][132]
1919,,"*Red Summer*: Heightened racial scrutinization of African-Americans during 
the Red Scare prompted mass racial riots among Whites in Bisbee, Arizona, Longview, 
Texas, Washington D.C., Chicago, Knoxville, Omaha, and Elaine, Arkansas.",[133]
,,"Inflation from the Post–World War I recession lead to the strike of 4 
million workers; prompting the Boston Police Strike, Seattle General Strike, 
Steel Strike of 1919 and Coal Strike of 1919.",[128]
,6/28/2015,*World War I*: The Treaty of Versailles ended the war.,[134]
,10/2/2015,"The *Black Sox Scandal*, involving the fixing of the 1919 World Series, 
occurred.",[135]
,10/28/2015,"President Woodrow Wilson's veto of the Volstead Act was overridden by the 
Senate, establishing the Eighteenth Amendment.",[136]
,11/19/2015,"The United States Senate rejected the Treaty of Versailles and the League 
of Nations, becoming the first time in U.S. history the Senate rejected a 
peace treaty.",[137]
1920,1/17/2015,"The Eighteenth Amendment to the United States Constitution, establishing prohibition 
in the United States, was ratified.",[138]
,,"The first radio broadcasts were made, in Pittsburgh and Detroit.",[139]
,8/18/2015,"The Nineteenth Amendment to the United States Constitution, granting women 
the right to vote, was ratified.",[140]
,9/16/2015,"*Wall Street Bombing*: Wall Street, the financial district of the United 
States, was bombed, killing 38 people.",[141]
,11/2/2015,"*United States presidential election, 1920*: Ohio Senator Warren G. Harding 
was elected President, defeating Ohio Governor James M. Cox.",[142]
1921,5/19/2015,The Emergency Quota Act was signed into law.,[143]
,May 31 – June 1,"The Tulsa Race Riot occurred; resulting in the deaths of up to 300 
African-Americans and leaving more than 8,000 homeless.",[144]
,11/12/2015,"The first meeting of the *Washington Disarmament Conference of 1921* was 
held.",[145]
1922,9/21/2015,The Fordney–McCumber Tariff was signed into law.,[146]
1923,8/2/2015,"President Warren G. Harding died of a heart attack at the Palace Hotel in San 
Francisco.",[147]
,8/3/2015,"Vice President Calvin Coolidge was sworn in as President, the day following 
the death of President Harding.",[148]
,11/22/2015,"*Teapot Dome scandal*: Secretary of the Interior Albert B. Fall resigned as 
a result of the scandal.",[149]
,12/10/2015,"The *Equal Rights Amendment*, written by women's suffragist leader Alice 
Paul, was first introduced in the Senate.",[150]
1924,5/10/2015,J. Edgar Hoover was appointed director of the Bureau of Investigation.,[151]
,5/26/2015,The Immigration Act Basic Law was signed into law.,[152]
,11/4/2015,"*United States presidential election, 1924*: President Calvin Coolidge 
defeated former Solicitor General John W. Davis and Wisconsin Senator Robert 
M. La Follette.",[153]
1925,7/21/2015,"*Scopes Trial*: High school teacher John T. Scopes was found guilty of 
violating Tennessee's Butler Act, for teaching human evolution in the 
classroom.",[154]
,11/4/2015,"Nellie Tayloe Ross was elected Governor of Wyoming, becoming the first 
woman elected governor of a U.S. State.",[155]
,11/28/2015,WSM first broadcast the Grand Ole Opry.,[156]
1926,11/15/2015,The broadcast network NBC was founded.,[157]
1927,1/27/2015,The radio network Columbia Broadcasting System (later CBS) was founded.,[158]
,5/18/2015,"*Bath School disaster*: Andrew Kehoe detonated over 500 pounds of dynamite 
and incendiary pyrotol which he planted in an elementary school in Bath 
Township, Michigan, where he later detonated the first ever car bomb in the 
U.S. in a suicide attack at the scene of the bombing; killing a total of 44 
people and being the deadliest mass murder at a school in U.S. History.",[159][160]
,5/21/2015,Charles Lindbergh made the first trans-Atlantic flight.,[161]
,8/23/2015,Sacco and Vanzetti were executed.,[162]
,10/6/2015,"*The Jazz Singer*, the first motion picture with sound, was released.",[163]
1928,8/27/2015,The Kellogg–Briand Pact was signed.,[164]
,11/6/2015,"*United States presidential election, 1928*: U.S. Secretary of Commerce Herbert 
Hoover was elected President, defeating New York Governor Al Smith.",[165]
,11/18/2015,"Disney's animated feature *Steamboat Willie*, featuring Mickey Mouse, 
opened.",[166]
1929,2/14/2015,"The St. Valentine's Day Massacre became one of the most infamous slaying 
between rival gangs of the Prohibition era; resulting in the deaths of 7.",[167]
,10/29/2015,"*Wall Street Crash of 1929*: The Dow Jones Industrial Average plummeted a 
record 68 points.",[168]
,11/7/2015,The Museum of Modern Art opened to the public in New York City.,[169]
,2/20/2015,American Samoa officially became a United States territory.,[170]
1930,6/17/2015,The Smoot–Hawley Tariff Act was signed into law.,[171]
1931,5/1/2015,The Empire State Building opened in New York City.,[172]
1932,1/7/2015,The Stimson Doctrine was published.,[173]
,1/22/2015,The Reconstruction Finance Corporation was established.,[174]
,3/23/2015,The Norris–La Guardia Act was signed into law.,[175]
,May,"The Bonus Army protests began in Washington, D.C.",[176]
,5/20/2015,Amelia Earhart flew solo across the Atlantic Ocean.,[177]
,11/8/2015,"*United States presidential election, 1932*: New York Governor Franklin 
Delano Roosevelt is elected President, defeating incumbent Herbert Hoover.",[178]
1933,1/23/2015,"The Twentieth Amendment to the United States Constitution, moving the 
beginning and end of the terms of elected federal officials to January 20, 
was ratified.",[179]
,2/15/2015,"Giuseppe Zangara assassinated Chicago Mayor Anton Cermak in an attempt on 
President-elect Franklin Delano Roosevelt's life.",[180]
,3/4/2015,"President Franklin Delano Roosevelt appointed Frances Perkins United States 
Secretary of Labor, becoming the first woman to hold a cabinet level 
position.",[181]
,,"*New Deal*: The Agricultural Adjustment Act, Civil Works Administration, Civilian 
Conservation Corps, Farm Credit Administration, Home Owners Loan Corporation, 
Tennessee Valley Authority, Public Works Administration, National 
Industrial Recovery Act were all established or brought into force.",[182]
,12/5/2015,"The Twenty-first Amendment to the United States Constitution, ending 
prohibition, was ratified.",[183]
1934,,"*Dust Bowl*: The Dust Bowl, characterized by severe drought and heat waves 
in the Great Plains, began.",[184]
,3/24/2015,"The Tydings–McDuffie Act was signed into law, establishing the Philippine 
Commonwealth.",[185]
,6/6/2015,The U.S. Securities and Exchange Commission was established.,[186]
,6/12/2015,The Reciprocal Trade Agreements Act was signed into law.,[187]
,6/16/2015,The Glass–Steagall Act was signed into law.,[188]
,6/18/2015,The Indian Reorganization Act was signed into law.,[189]
,6/22/2015,John Dillinger was killed.,[190]
,6/28/2015,The Federal Housing Administration was established.,[191]
1935,3/22/2015,"The FBI was established, with J. Edgar Hoover as its first director.",[192]
,4/8/2015,The Works Progress Administration was established.,[193]
,5/14/2015,"The Social Security Act was signed into law; establishing the Social 
Security Administration.",[194]
,5/27/2015,"*Schechter Poultry Corp. v. United States*: The Supreme Court ruled that 
the National Industrial Recovery Act, a central piece of President 
Roosevelt's New Deal program, was unconstitutional.",[195]
,7/5/2015,The National Labor Relations Act was signed into law.,[196]
,8/9/2015,The Motor Carrier Act was signed into law.,[197]
,8/30/2015,The Revenue Act of 1935 was signed into law.,[198]
,8/31/2015,The Neutrality Act of 1935 was signed into law.,[199]
,9/10/2015,Louisiana Senator Huey Long was assassinated.,[200]
,11/9/2015,The Congress of Industrial Organizations was founded.,[201]
1936,1/6/2015,"*United States v. Butler*: The Supreme Court ruled that the processing 
taxes instituted under the 1933 Agricultural Adjustment Act were 
unconstitutional.",[202]
,3/25/2015,The Second London Naval Treaty was signed.,[203]
,6/19/2015,The Robinson-Patman Act was signed into law.,[204]
,11/3/2015,"*United States presidential election, 1936*: President Franklin Delano 
Roosevelt was reelected to a second term, defeating Kansas Governor Alf 
Landon.",[205]
,12/30/2015,The Flint Sit-Down Strike began.,[206]
1937,5/1/2015,The Neutrality Act of 1937 was signed into law.,[207]
,5/6/2015,"*Hindenburg disaster*: The LZ 129 Hindenburg caught fire, crashing at the Lakehurst 
Naval Air Station in Lakehurst, New Jersey after departing from Frankfurt, 
Germany; killing thirty-five passengers and one ground crewman.",[208]
,5/27/2015,The Golden Gate Bridge opened in San Francisco.,[209]
,12/12/2015,"*Panay incident*: A Japanese attack was made on the United States Navy 
gunboat USS *Panay* while it was anchored in the Yangtze River outside of 
Nanjing; killing three Americans.",[210]
1938,6/25/2015,"The Fair Labor Standards Act was signed into law; establishing a federal minimum 
wage.",[211]
,10/30/2015,Orson Welles performed a broadcast of *The War of the Worlds*.,[212]
1939,2/4/2015,"Disney's Snow White and the Seven Dwarfs became the first full-length 
animated film.",[213]
,8/2/2015,"The Hatch Act, aimed at corrupt political practices, was signed into law, 
preventing federal civil servants from campaigning.",[214]
,9/1/2015,*Invasion of Poland (1939)*: Nazi Germany invaded Poland.,[215]
,9/21/2015,"In response to the Poland Campaign, President Roosevelt requested a *cash 
and carry policy to replace the Neutrality Acts.*",[216]
1940,6/29/2015,The Smith Act was signed into law.,[217]
,,The cartoon characters Bugs Bunny and Tom and Jerry debuted.,[218][219]
,7/20/2015,*Billboard* publishes its first music popularity chart.,[220]
,9/16/2015,"The Selective Training and Service Act of 1940, reinstating the U.S. 
military draft, was signed into law.",[221]
,11/5/2015,"*U.S. presidential election, 1940*: President Franklin Delano Roosevelt was 
reelected to a third term, defeating corporate lawyer Wendell Willkie of 
Indiana.",[222]
1941,2/23/2015,"American Nuclear chemist Glenn T. Seaborg, with fellow U.C. Berkeley 
researchers, discovered the chemical element plutonium.",[223][224][225]
,3/11/2015,"*World War II*: Lend-Lease, which supplied the United Kingdom, the Soviet 
Union, China, France and other Allied nations with vast amounts of war 
material, began.",[226]
,6/25/2015,"President Roosevelt signed Executive Order 8802, prohibiting racial 
discrimination in the defense industry.",[227]
,8/14/2015,"*World War II*: The Atlantic Charter was drafted by Britain and the United 
States to serve as a blueprint for the postwar world.",[228]
,12/7/2015,"*Attack on Pearl Harbor*: The Empire of Japan declares war on the United 
States and Britain, attacking the U.S. Naval Base in Pearl Harbor, Hawaii. 
Sinking six U.S. ships, including the *USS Arizona*, and destroying 188 
aircraft, the attack on Pearl Harbor resulted in the deaths of 2,402 
Americans, leaving 1,247 wounded.",[229]
,12/8/2015,"The United States declares war on the Empire of Japan, beginning the U.S. 
entry into World War II.",[230]
,12/11/2015,"The United States declares war on Germany and Italy, after both nations 
declared war with United States.",[231]
1942,,The Congress of Racial Equality was established.,[232]
,1/20/2015,The Office of Price Administration was established.,[233]
,2/9/2015,"Automobile production in the United States for private consumers is halted 
by the War Production Board.",[234]
,2/19/2015,"*Japanese American internment*: Internment and seizure of property began, 
per Executive Order 9066 issued by President Roosevelt.",[235]
,4/9/2015,"The U.S. surrenders to Japan in the Battle of Bataan, beginning the three 
year occupation of the Commonwealth of the Philippines by Japanese forces.",[236]
,4/11/2015,"President Roosevelt signed Executive order 8734; establishing the Office of 
Price Administration.",[237]
,4/18/2015,"*Pacific Theater of Operations*: The Doolittle Raid begins the first U.S. 
bombing of Japanese archipelago.",[238]
,6/3/2015,"The Aleutian Islands Campaign begins the Japanese occupation of Alaska 
Territory.",[239]
,June 4–7,The Battle of Midway was fought.,[240]
,8/7/2015,The *Guadalcanal Campaign* begins in the Solomon Islands.,[241]
,8/13/2015,"The *Manhattan Project*, leading to the development of the first atomic bomb, 
began.",[242]
,10/21/2015,The Revenue Act of 1942 was signed into law.,[243]
,11/28/2015,"The *Cocoanut Grove fire*, the deadliest nightclub fire in U.S. History, 
killed 492 people in Boston.",[244]
1943,January 14–24,The *Casablanca Conference* was held.,[245]
,3/31/2015,The Broadway musical *Oklahoma!* opened.,[246]
,June 20–22,"The Detroit Race Riot occurred; resulting in the deaths of 34 Whites and 
African-Americans and leaving 670 injured.",[247][248]
,9/8/2015,"*Armistice of Cassibile*: General Dwight Eisenhower publicly announces the 
surrender of Italy to the Allied Powers; with Italy later declaring war on 
Germany one month later.",[249][250][251]
,November 22–26,The *Cairo Conference* was held.,[252]
,11/28/2015,"The *Tehran Conference* was held between the ""Big Three"" Allied leaders of 
World War II.",[253]
1944,6/6/2015,"*Normandy Landings (D-Day)*: The Invasion of Normandy, one of the largest amphibious 
military assaults in history, began in the Allied Powers broader Operation 
Overlord; leading to the Liberation of Paris.",[254][255][256]
,6/22/2015,The G.I. Bill was signed into law.,[257]
,July 1–22,"*United Nations Monetary and Financial Conference*: Delegates from 44 
nations met to discuss a new post-WWII monetary policy.",[258]
,8/21/2015,"The *Dumbarton Oaks Conference* began, starting the first talks between 
world leaders on the establishment of the United Nations.",[259]
,11/7/2015,"*U.S. presidential election, 1944*: President Franklin Delano Roosevelt was 
reelected to a fourth term, defeating New York Governor Thomas E. Dewey.",[260]
,12/16/2015,"The Battle of the Bulge, Germany's final major offensive of World War II, 
began; being the deadliest military battle for the United States during 
World War II.",[261][262]
1945,February 4–11,The Yalta Conference was held in the Soviet Union.,[263]
,2/19/2015,The *Battle of Iwo Jima* began.,[264]
,3/19/2015,The Western Allied invasion of Germany began.,
,4/1/2015,"The *Battle of Okinawa* began, being the deadliest battle of the Pacific War
.",[265]
,4/12/2015,"President Franklin D. Roosevelt died of a cerebral hemorrhage in Warm 
Springs, Georgia; with Vice President Harry S. Truman succeeding him, 
becoming the 33rd President.",[266][267]
,4/30/2015,"German Chancellor Adolf Hitler committed suicide alongside wife Eva Braun 
in Berlin.",[268]
,5/7/2015,"Germany surrenders to the Allied Powers, leading to the End of World War II 
in Europe.",[269]
,6/26/2015,"*United Nations Charter*: The United Nations was founded, replacing the League 
of Nations.",[270]
,"July 17 -
August 2",The Potsdam Conference was held in Occupied Germany.,[271]
,August 6 & 9,"*Operation Downfall*: The United States conducted the only two atomic 
bombings during a war on Hiroshima and Nagasaki; killing between an 
estimated 150,000-246,000 people.",[272][273]
,8/15/2015,"*Surrender of Japan*: In a broadcast to the Japanese public, Emperor 
Hirohito announced that Japan had accepted the Potsdam Declaration, 
surrendering to the Allied Powers.",[274]
,9/2/2015,"The Japanese Instrument of Surrender was signed between the Empire of Japan, 
the United States, United Kingdom, Soviet Union, Republic of China, France, 
Netherlands, Canada, Australia and New Zealand, on the deck of the *USS 
Missouri* in Tokyo Bay; marking the end of World War II.",[275]
,11/20/2015,"*Nuremberg Trials*: The military tribunals against Nazi Germany leadership 
began.",[276]
,,"*Strike Wave of 1945–1946*: Nationwide labor strikes were held, with over 
4.6 million workers striking.",[277]
1946,,Automobile production in the United States for private consumers resumed.,[278]
,2/20/2015,"The Employment Act was signed into law; establishing the Council of 
Economic Advisers.",[279]
,7/4/2015,The Philippines regained independence from the United States.,[280]
,7/14/2015,"Benjamin Spock's *The Common Sense Book of Baby and Child Care* was 
published.",[281]
,8/1/2015,"The United States Atomic Energy Act of 1946 was signed into law; 
establishing the United States Atomic Energy Commission.",[282]
,12/5/2015,"President Truman signed Executive Order 9808; establishing the President's 
Committee on Civil Rights.",[283]
1947,3/12/2015,"The Truman Doctrine was declared, establishing ""the policy of the United 
States to support free peoples who are resisting attempted subjugation by 
armed minorities or by outside pressures.""",[284]
,3/21/2015,"President Truman signed executive order 9835; establishing the Federal 
Employee Loyalty Program to search out the ""infiltration of disloyal 
persons"" in the U.S. Government.",[285]
,4/15/2015,"Jackie Robinson of the Brooklyn Dodgers broke the color line in Major 
League Baseball.",[286]
,6/5/2015,The Marshall Plan was announced by U.S. Secretary of State George Marshall.,[287]
,6/23/2015,"The Taft Hartley Act was enacted, with the House and Senate overriding 
President Truman's veto of the bill.",[288]
